variable_code,Granular Category,English Fluency
B16004_003E,Speak Only English (5 to 17),"Native, Very Well, Well"
B16004_005E,"Speak Spanish - Speak English ""Very Well""  (5 to 17)","Native, Very Well, Well"
B16004_006E,"Speak Spanish - Speak English ""Well""  (5 to 17)","Native, Very Well, Well"
B16004_007E,"Speak Spanish - Speak English ""Not Well""  (5 to 17)","Not Well, Not at All"
B16004_008E,"Speak Spanish - Speak English ""Not at  All""  (5 to 17)","Not Well, Not at All"
B16004_010E,"Speak other Indo-European languages - Speak English ""Very Well""  (5 to 17)","Native, Very Well, Well"
B16004_011E,"Speak other Indo-European languages - Speak English ""Well""  (5 to 17)","Native, Very Well, Well"
B16004_012E,"Speak other Indo-European languages - Speak English ""Not Well""  (5 to 17)","Not Well, Not at All"
B16004_013E,"Speak other Indo-European languages - Speak English ""Not at  All""  (5 to 17)","Not Well, Not at All"
B16004_015E,"Speak Asian and Pacific Island languages - Speak English ""Very Well""  (5 to 17)","Native, Very Well, Well"
B16004_016E,"Speak Asian and Pacific Island languages - Speak English ""Well""  (5 to 17)","Native, Very Well, Well"
B16004_017E,"Speak Asian and Pacific Island languages- Speak English ""Not Well""  (5 to 17)","Not Well, Not at All"
B16004_018E,"Speak Asian and Pacific Island languages - Speak English ""Not at  All""  (5 to 17)","Not Well, Not at All"
B16004_020E,"Speak other languages - Speak English ""Very Well""  (5 to 17)","Native, Very Well, Well"
B16004_021E,"Speak other languages - Speak English ""Well""  (5 to 17)","Native, Very Well, Well"
B16004_022E,"Speak other languages - Speak English ""Not Well""  (5 to 17)","Not Well, Not at All"
B16004_023E,"Speak other languages - Speak English ""Not at  All""  (5 to 17)","Not Well, Not at All"
B16004_025E,Speak Only English (18 to 64),"Native, Very Well, Well"
B16004_027E,"Speak Spanish - Speak English ""Very Well""  (18 to 64)","Native, Very Well, Well"
B16004_028E,"Speak Spanish - Speak English ""Well""  (18 to 64)","Native, Very Well, Well"
B16004_029E,"Speak Spanish - Speak English ""Not Well""  (18 to 64)","Not Well, Not at All"
B16004_030E,"Speak Spanish - Speak English ""Not at  All""  (18 to 64)","Not Well, Not at All"
B16004_032E,"Speak other Indo-European languages - Speak English ""Very Well""  (18 to 64)","Native, Very Well, Well"
B16004_033E,"Speak other Indo-European languages - Speak English ""Well""  (18 to 64)","Native, Very Well, Well"
B16004_034E,"Speak other Indo-European languages - Speak English ""Not Well""  (18 to 64)","Not Well, Not at All"
B16004_035E,"Speak other Indo-European languages - Speak English ""Not at  All""  (18 to 64)","Not Well, Not at All"
B16004_037E,"Speak Asian and Pacific Island languages - Speak English ""Very Well""  (18 to 64)","Native, Very Well, Well"
B16004_038E,"Speak Asian and Pacific Island languages - Speak English ""Well""  (18 to 64)","Native, Very Well, Well"
B16004_039E,"Speak Asian and Pacific Island languages- Speak English ""Not Well""  (18 to 64)","Not Well, Not at All"
B16004_040E,"Speak Asian and Pacific Island languages - Speak English ""Not at  All""  (18 to 64)","Not Well, Not at All"
B16004_042E,"Speak other languages - Speak English ""Very Well""  (18 to 64)","Native, Very Well, Well"
B16004_043E,"Speak other languages - Speak English ""Well""  (18 to 64)","Native, Very Well, Well"
B16004_044E,"Speak other languages - Speak English ""Not Well""  (18 to 64)","Not Well, Not at All"
B16004_045E,"Speak other languages - Speak English ""Not at  All""  (18 to 64)","Not Well, Not at All"
B16004_047E,Speak Only English (65 years and over),"Native, Very Well, Well"
B16004_049E,"Speak Spanish - Speak English ""Very Well""  (65 years and over)","Native, Very Well, Well"
B16004_050E,"Speak Spanish - Speak English ""Well""  (65 years and over)","Native, Very Well, Well"
B16004_051E,"Speak Spanish - Speak English ""Not Well""  (65 years and over)","Not Well, Not at All"
B16004_052E,"Speak Spanish - Speak English ""Not at  All""  (65 years and over)","Not Well, Not at All"
B16004_054E,"Speak other Indo-European languages - Speak English ""Very Well""  (65 years and over)","Native, Very Well, Well"
B16004_055E,"Speak other Indo-European languages - Speak English ""Well""  (65 years and over)","Native, Very Well, Well"
B16004_056E,"Speak other Indo-European languages - Speak English ""Not Well""  (65 years and over)","Not Well, Not at All"
B16004_057E,"Speak other Indo-European languages - Speak English ""Not at  All""  (65 years and over)","Not Well, Not at All"
B16004_059E,"Speak Asian and Pacific Island languages - Speak English ""Very Well""  (65 years and over)","Native, Very Well, Well"
B16004_060E,"Speak Asian and Pacific Island languages - Speak English ""Well""  (65 years and over)","Native, Very Well, Well"
B16004_061E,"Speak Asian and Pacific Island languages- Speak English ""Not Well""  (65 years and over)","Not Well, Not at All"
B16004_062E,"Speak Asian and Pacific Island languages - Speak English ""Not at  All""  (65 years and over)","Not Well, Not at All"
B16004_064E,"Speak other languages - Speak English ""Very Well""  (65 years and over)","Native, Very Well, Well"
B16004_065E,"Speak other languages - Speak English ""Well""  (65 years and over)","Native, Very Well, Well"
B16004_066E,"Speak other languages - Speak English ""Not Well""  (65 years and over)","Not Well, Not at All"
B16004_067E,"Speak other languages - Speak English ""Not at  All""  (65 years and over)","Not Well, Not at All"
