ZIP,Name,Year,Basin,City,State,County
89402,"CRYSTAL BAY, NV",2020,Y,CRYSTAL BAY,NV,WASHOE
89413,"GLENBROOK, NV",2020,Y,GLENBROOK,NV,DOUGLAS
89448,"ZEPHYR COVE, NV",2020,Y,ZEPHYR COVE,NV,DOUGLAS
89449,"STATELINE, NV",2020,Y,STATELINE,NV,DOUGLAS
89450,"INCLINE VILLAGE, NV",2020,Y,INCLINE VILLAGE,NV,WASHOE
89451,"INCLINE VILLAGE, NV",2020,Y,INCLINE VILLAGE,NV,WASHOE
89452,"INCLINE VILLAGE, NV",2020,Y,INCLINE VILLAGE,NV,WASHOE
96140,"CARNELIAN BAY, CA",2020,Y,CARNELIAN BAY,CA,PLACER
96141,"HOMEWOOD, CA",2020,Y,HOMEWOOD,CA,PLACER
96142,"TAHOMA, CA",2020,Y,TAHOMA,CA,EL DORADO
96143,"KINGS BEACH, CA",2020,Y,KINGS BEACH,CA,PLACER
96145,"TAHOE CITY, CA",2020,Y,TAHOE CITY,CA,PLACER
96146,"OLYMPIC VALLEY, CA",2020,N,OLYMPIC VALLEY,CA,PLACER
96148,"TAHOE VISTA, CA",2020,Y,TAHOE VISTA,CA,PLACER
96150,"SOUTH LAKE TAHOE, CA",2020,Y,SOUTH LAKE TAHOE,CA,EL DORADO
96151,"SOUTH LAKE TAHOE, CA",2020,Y,SOUTH LAKE TAHOE,CA,EL DORADO
96158,"SOUTH LAKE TAHOE, CA",2020,Y,SOUTH LAKE TAHOE,CA,EL DORADO
96160,"TRUCKEE, CA",2020,N,TRUCKEE,CA,NEVADA
96161,"TRUCKEE, CA",2020,N,TRUCKEE,CA,NEVADA
96162,"TRUCKEE, CA",2020,N,TRUCKEE,CA,NEVADA
89402,"CRYSTAL BAY, NV",2019,Y,CRYSTAL BAY,NV,WASHOE
89413,"GLENBROOK, NV",2019,Y,GLENBROOK,NV,DOUGLAS
89448,"ZEPHYR COVE, NV",2019,Y,ZEPHYR COVE,NV,DOUGLAS
89449,"STATELINE, NV",2019,Y,STATELINE,NV,DOUGLAS
89450,"INCLINE VILLAGE, NV",2019,Y,INCLINE VILLAGE,NV,WASHOE
89451,"INCLINE VILLAGE, NV",2019,Y,INCLINE VILLAGE,NV,WASHOE
89452,"INCLINE VILLAGE, NV",2019,Y,INCLINE VILLAGE,NV,WASHOE
