,GEO_ID,value,MarginOfError,state,county,tract,variable_code,variable_name,variable_category,year_sample
1,1400000US06017030201,43,32,06,017,030201,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
2,1400000US06017030202,66,39,06,017,030202,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
3,1400000US06017030301,63,35,06,017,030301,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
4,1400000US06017030302,113,83,06,017,030302,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
5,1400000US06017030402,154,97,06,017,030402,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
6,1400000US06017030403,17,15,06,017,030403,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
7,1400000US06017030404,106,72,06,017,030404,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
8,1400000US06017030502,56,46,06,017,030502,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
9,1400000US06017030504,168,99,06,017,030504,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
10,1400000US06017030506,76,26,06,017,030506,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
11,1400000US06017030507,62,52,06,017,030507,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
12,1400000US06017030601,110,63,06,017,030601,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
13,1400000US06017030603,193,158,06,017,030603,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
14,1400000US06017030604,44,48,06,017,030604,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
15,1400000US06017030605,98,48,06,017,030605,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
16,1400000US06017030606,181,116,06,017,030606,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
17,1400000US06017030701,74,71,06,017,030701,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
18,1400000US06017030706,128,82,06,017,030706,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
19,1400000US06017030709,117,56,06,017,030709,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
20,1400000US06017030710,220,112,06,017,030710,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
21,1400000US06017030711,142,89,06,017,030711,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
22,1400000US06017030712,215,88,06,017,030712,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
23,1400000US06017030801,203,100,06,017,030801,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
24,1400000US06017030804,127,68,06,017,030804,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
25,1400000US06017030807,167,74,06,017,030807,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
26,1400000US06017030808,148,100,06,017,030808,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
27,1400000US06017030809,99,40,06,017,030809,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
28,1400000US06017030810,157,92,06,017,030810,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
29,1400000US06017030811,14,24,06,017,030811,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
30,1400000US06017030812,174,101,06,017,030812,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
31,1400000US06017030901,35,40,06,017,030901,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
32,1400000US06017030902,222,83,06,017,030902,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
33,1400000US06017031000,321,148,06,017,031000,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
34,1400000US06017031100,202,119,06,017,031100,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
35,1400000US06017031200,187,106,06,017,031200,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
36,1400000US06017031301,107,49,06,017,031301,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
37,1400000US06017031302,137,120,06,017,031302,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
38,1400000US06017031404,51,33,06,017,031404,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
