GEO_ID,value,state,MarginOfError,county,sample_level,Geo_Name,variable_code,variable_name,variable_category,year_sample,dataset,census_geom_year,TRPAID
06017,77963,06,,017,County,El Dorado County,P012002,Male: Total,Age,2000,dec/sf1,2000,060172000
06061,121892,06,,061,County,Placer County,P012002,Male: Total,Age,2000,dec/sf1,2000,060612000
32005,20840,32,,005,County,Douglas County,P012002,Male: Total,Age,2000,dec/sf1,2000,320052000
32031,172080,32,,031,County,Washoe County,P012002,Male: Total,Age,2000,dec/sf1,2000,320312000
32510,27102,32,,510,County,Carson City County,P012002,Male: Total,Age,2000,dec/sf1,2000,325102000
06000,16874892,06,,000,State,CA,P012002,Male: Total,Age,2000,dec/sf1,2000,060002000
32000,1018051,32,,000,State,NV,P012002,Male: Total,Age,2000,dec/sf1,2000,320002000
06017,4688,06,,017,County,El Dorado County,P012003,Male: Under 5 years,Age,2000,dec/sf1,2000,060172000
06061,8027,06,,061,County,Placer County,P012003,Male: Under 5 years,Age,2000,dec/sf1,2000,060612000
32005,1085,32,,005,County,Douglas County,P012003,Male: Under 5 years,Age,2000,dec/sf1,2000,320052000
32031,12073,32,,031,County,Washoe County,P012003,Male: Under 5 years,Age,2000,dec/sf1,2000,320312000
32510,1681,32,,510,County,Carson City County,P012003,Male: Under 5 years,Age,2000,dec/sf1,2000,325102000
06000,1272884,06,,000,State,CA,P012003,Male: Under 5 years,Age,2000,dec/sf1,2000,060002000
32000,74800,32,,000,State,NV,P012003,Male: Under 5 years,Age,2000,dec/sf1,2000,320002000
06017,5911,06,,017,County,El Dorado County,P012004,Male: 5 to 9 years,Age,2000,dec/sf1,2000,060172000
06061,9599,06,,061,County,Placer County,P012004,Male: 5 to 9 years,Age,2000,dec/sf1,2000,060612000
32005,1355,32,,005,County,Douglas County,P012004,Male: 5 to 9 years,Age,2000,dec/sf1,2000,320052000
32031,12296,32,,031,County,Washoe County,P012004,Male: 5 to 9 years,Age,2000,dec/sf1,2000,320312000
32510,1744,32,,510,County,Carson City County,P012004,Male: 5 to 9 years,Age,2000,dec/sf1,2000,325102000
06000,1396480,06,,000,State,CA,P012004,Male: 5 to 9 years,Age,2000,dec/sf1,2000,060002000
32000,76547,32,,000,State,NV,P012004,Male: 5 to 9 years,Age,2000,dec/sf1,2000,320002000
06017,6586,06,,017,County,El Dorado County,P012005,Male: 10 to 14 years,Age,2000,dec/sf1,2000,060172000
06061,10018,06,,061,County,Placer County,P012005,Male: 10 to 14 years,Age,2000,dec/sf1,2000,060612000
32005,1702,32,,005,County,Douglas County,P012005,Male: 10 to 14 years,Age,2000,dec/sf1,2000,320052000
32031,12242,32,,031,County,Washoe County,P012005,Male: 10 to 14 years,Age,2000,dec/sf1,2000,320312000
32510,1777,32,,510,County,Carson City County,P012005,Male: 10 to 14 years,Age,2000,dec/sf1,2000,325102000
06000,1317135,06,,000,State,CA,P012005,Male: 10 to 14 years,Age,2000,dec/sf1,2000,060002000
32000,71623,32,,000,State,NV,P012005,Male: 10 to 14 years,Age,2000,dec/sf1,2000,320002000
06017,3826,06,,017,County,El Dorado County,P012006,Male: 15 to 17 years,Age,2000,dec/sf1,2000,060172000
06061,5813,06,,061,County,Placer County,P012006,Male: 15 to 17 years,Age,2000,dec/sf1,2000,060612000
32005,967,32,,005,County,Douglas County,P012006,Male: 15 to 17 years,Age,2000,dec/sf1,2000,320052000
32031,6855,32,,031,County,Washoe County,P012006,Male: 15 to 17 years,Age,2000,dec/sf1,2000,320312000
32510,1012,32,,510,County,Carson City County,P012006,Male: 15 to 17 years,Age,2000,dec/sf1,2000,325102000
06000,758039,06,,000,State,CA,P012006,Male: 15 to 17 years,Age,2000,dec/sf1,2000,060002000
32000,40224,32,,000,State,NV,P012006,Male: 15 to 17 years,Age,2000,dec/sf1,2000,320002000
06017,2039,06,,017,County,El Dorado County,P012007,Male: 18 and 19 years,Age,2000,dec/sf1,2000,060172000
06061,3233,06,,061,County,Placer County,P012007,Male: 18 and 19 years,Age,2000,dec/sf1,2000,060612000
32005,470,32,,005,County,Douglas County,P012007,Male: 18 and 19 years,Age,2000,dec/sf1,2000,320052000
32031,4815,32,,031,County,Washoe County,P012007,Male: 18 and 19 years,Age,2000,dec/sf1,2000,320312000
32510,649,32,,510,County,Carson City County,P012007,Male: 18 and 19 years,Age,2000,dec/sf1,2000,325102000
06000,513587,06,,000,State,CA,P012007,Male: 18 and 19 years,Age,2000,dec/sf1,2000,060002000
32000,25644,32,,000,State,NV,P012007,Male: 18 and 19 years,Age,2000,dec/sf1,2000,320002000
06017,808,06,,017,County,El Dorado County,P012008,Male: 20 years,Age,2000,dec/sf1,2000,060172000
06061,1317,06,,061,County,Placer County,P012008,Male: 20 years,Age,2000,dec/sf1,2000,060612000
32005,167,32,,005,County,Douglas County,P012008,Male: 20 years,Age,2000,dec/sf1,2000,320052000
32031,2566,32,,031,County,Washoe County,P012008,Male: 20 years,Age,2000,dec/sf1,2000,320312000
32510,315,32,,510,County,Carson City County,P012008,Male: 20 years,Age,2000,dec/sf1,2000,325102000
06000,258628,06,,000,State,CA,P012008,Male: 20 years,Age,2000,dec/sf1,2000,060002000
32000,13297,32,,000,State,NV,P012008,Male: 20 years,Age,2000,dec/sf1,2000,320002000
06017,789,06,,017,County,El Dorado County,P012009,Male: 21 years,Age,2000,dec/sf1,2000,060172000
06061,1192,06,,061,County,Placer County,P012009,Male: 21 years,Age,2000,dec/sf1,2000,060612000
32005,146,32,,005,County,Douglas County,P012009,Male: 21 years,Age,2000,dec/sf1,2000,320052000
32031,2511,32,,031,County,Washoe County,P012009,Male: 21 years,Age,2000,dec/sf1,2000,320312000
32510,338,32,,510,County,Carson City County,P012009,Male: 21 years,Age,2000,dec/sf1,2000,325102000
06000,247456,06,,000,State,CA,P012009,Male: 21 years,Age,2000,dec/sf1,2000,060002000
32000,13091,32,,000,State,NV,P012009,Male: 21 years,Age,2000,dec/sf1,2000,320002000
06017,2031,06,,017,County,El Dorado County,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,060172000
06061,3433,06,,061,County,Placer County,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,060612000
32005,471,32,,005,County,Douglas County,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,320052000
32031,7180,32,,031,County,Washoe County,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,320312000
32510,997,32,,510,County,Carson City County,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,325102000
06000,739446,06,,000,State,CA,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,060002000
32000,41625,32,,000,State,NV,P012010,Male: 22 to 24 years,Age,2000,dec/sf1,2000,320002000
06017,3569,06,,017,County,El Dorado County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,060172000
06061,6264,06,,061,County,Placer County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,060612000
32005,876,32,,005,County,Douglas County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,320052000
32031,12388,32,,031,County,Washoe County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,320312000
32510,1817,32,,510,County,Carson City County,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,325102000
06000,1311445,06,,000,State,CA,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,060002000
32000,77234,32,,000,State,NV,P012011,Male: 25 to 29 years,Age,2000,dec/sf1,2000,320002000
06017,4285,06,,017,County,El Dorado County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,060172000
06061,8071,06,,061,County,Placer County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,060612000
32005,1075,32,,005,County,Douglas County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,320052000
32031,13208,32,,031,County,Washoe County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,320312000
32510,2028,32,,510,County,Carson City County,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,325102000
06000,1382355,06,,000,State,CA,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,060002000
32000,83053,32,,000,State,NV,P012012,Male: 30 to 34 years,Age,2000,dec/sf1,2000,320002000
06017,6082,06,,017,County,El Dorado County,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,060172000
06061,10215,06,,061,County,Placer County,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,060612000
32005,1567,32,,005,County,Douglas County,P012013,Male: 35 to 39 years,Age,2000,dec/sf1,2000,320052000
