Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Total,B19052_001,Employment,American Community Survey,acs/acs5,B19052_001,2020,2020,block group
With wage or salary income,B19052_002,Employment,American Community Survey,acs/acs5,B19052_002,2020,2020,block group
No wage or salary income,B19052_003,Employment,American Community Survey,acs/acs5,B19052_003,2020,2020,block group
"$10,000 to $14,999",B19001_003,Household Income,American Community Survey,acs/acs5,B19001_003,2020,2020,block group
"$15,000 to $19,999",B19001_004,Household Income,American Community Survey,acs/acs5,B19001_004,2020,2020,block group
"$20,000 to $24,999",B19001_005,Household Income,American Community Survey,acs/acs5,B19001_005,2020,2020,block group
"$25,000 to $29,999",B19001_006,Household Income,American Community Survey,acs/acs5,B19001_006,2020,2020,block group
"$30,000 to $34,999",B19001_007,Household Income,American Community Survey,acs/acs5,B19001_007,2020,2020,block group
"$35,000 to $39,999",B19001_008,Household Income,American Community Survey,acs/acs5,B19001_008,2020,2020,block group
"$40,000 to $44,999",B19001_009,Household Income,American Community Survey,acs/acs5,B19001_009,2020,2020,block group
"$45,000 to $49,999",B19001_010,Household Income,American Community Survey,acs/acs5,B19001_010,2020,2020,block group
"$50,000 to $59,999",B19001_011,Household Income,American Community Survey,acs/acs5,B19001_011,2020,2020,block group
"$60,000 to $74,999",B19001_012,Household Income,American Community Survey,acs/acs5,B19001_012,2020,2020,block group
"$75,000 to $99,999",B19001_013,Household Income,American Community Survey,acs/acs5,B19001_013,2020,2020,block group
"$100,000 to $124,999",B19001_014,Household Income,American Community Survey,acs/acs5,B19001_014,2020,2020,block group
"$125,000 to $149,999",B19001_015,Household Income,American Community Survey,acs/acs5,B19001_015,2020,2020,block group
"$150,000 to $199,999",B19001_016,Household Income,American Community Survey,acs/acs5,B19001_016,2020,2020,block group
"$200,000 or more",B19001_017,Household Income,American Community Survey,acs/acs5,B19001_017,2020,2020,block group
"Less than $10,000",B19001_002,Household Income,American Community Survey,acs/acs5,B19001_002,2020,2020,block group
Median Household Income,B06011_001,Income (Median),American Community Survey,acs/acs5,B06011_001,2020,2020,block group
