Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Total Civilian Population,S1810_C01_001,Individual Disability,American Community Survey,acs/acs5/subject,S1810_C01_001,2021,2020,Tract
Total Civilian Population with disability,S1810_C02_001,Individual Disability,American Community Survey,acs/acs5/subject,S1810_C02_001,2021,2020,Tract
Occupied units paying rent,DP04_0126,Gross Rent (Total),American Community Survey,acs/acs5/profile,DP04_0126,2020,2020,Tract
Less than $500,DP04_0127,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0127,2020,2020,Tract
$500 to $999,DP04_0128,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0128,2020,2020,Tract
"$1,000 to $1,499",DP04_0129,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0129,2020,2020,Tract
"$1,500 to $1,999",DP04_0130,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0130,2020,2020,Tract
"$2,000 to $2,499",DP04_0131,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0131,2020,2020,Tract
"$2,500 to $2,999",DP04_0132,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0132,2020,2020,Tract
"$3,000 or more",DP04_0133,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0133,2020,2020,Tract
Median (dollars),DP04_0134,Gross Rent (Median),American Community Survey,acs/acs5/profile,DP04_0134,2020,2020,Tract
No rent paid,DP04_0135,Gross Rent (Total),American Community Survey,acs/acs5/profile,DP04_0135,2020,2020,Tract
"Less than $50,000",DP04_0081,Home Value,American Community Survey,acs/acs5/profile,DP04_0081,2020,2020,Tract
"$50,000 to $99,999",DP04_0082,Home Value,American Community Survey,acs/acs5/profile,DP04_0082,2020,2020,Tract
"$100,000 to $149,999",DP04_0083,Home Value,American Community Survey,acs/acs5/profile,DP04_0083,2020,2020,Tract
"$150,000 to $199,999",DP04_0084,Home Value,American Community Survey,acs/acs5/profile,DP04_0084,2020,2020,Tract
"$200,000 to $299,999",DP04_0085,Home Value,American Community Survey,acs/acs5/profile,DP04_0085,2020,2020,Tract
"$300,000 to $499,999",DP04_0086,Home Value,American Community Survey,acs/acs5/profile,DP04_0086,2020,2020,Tract
"$500,000 to $999,999",DP04_0087,Home Value,American Community Survey,acs/acs5/profile,DP04_0087,2020,2020,Tract
"$1,000,000 or more",DP04_0088,Home Value,American Community Survey,acs/acs5/profile,DP04_0088,2020,2020,Tract
Median (dollars),DP04_0089,Home Value (Median),American Community Survey,acs/acs5/profile,DP04_0089,2020,2020,Tract
Occupied units paying rent,DP04_0126,Gross Rent (Total),American Community Survey,acs/acs5/profile,DP04_0126,2021,2020,Tract
Less than $500,DP04_0127,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0127,2021,2020,Tract
$500 to $999,DP04_0128,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0128,2021,2020,Tract
"$1,000 to $1,499",DP04_0129,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0129,2021,2020,Tract
"$1,500 to $1,999",DP04_0130,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0130,2021,2020,Tract
"$2,000 to $2,499",DP04_0131,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0131,2021,2020,Tract
"$2,500 to $2,999",DP04_0132,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0132,2021,2020,Tract
"$3,000 or more",DP04_0133,Gross Rent,American Community Survey,acs/acs5/profile,DP04_0133,2021,2020,Tract
Median (dollars),DP04_0134,Gross Rent (Median),American Community Survey,acs/acs5/profile,DP04_0134,2021,2020,Tract
No rent paid,DP04_0135,Gross Rent (Total),American Community Survey,acs/acs5/profile,DP04_0135,2021,2020,Tract
"Less than $50,000",DP04_0081,Home Value,American Community Survey,acs/acs5/profile,DP04_0081,2021,2020,Tract
"$50,000 to $99,999",DP04_0082,Home Value,American Community Survey,acs/acs5/profile,DP04_0082,2021,2020,Tract
"$100,000 to $149,999",DP04_0083,Home Value,American Community Survey,acs/acs5/profile,DP04_0083,2021,2020,Tract
"$150,000 to $199,999",DP04_0084,Home Value,American Community Survey,acs/acs5/profile,DP04_0084,2021,2020,Tract
"$200,000 to $299,999",DP04_0085,Home Value,American Community Survey,acs/acs5/profile,DP04_0085,2021,2020,Tract
"$300,000 to $499,999",DP04_0086,Home Value,American Community Survey,acs/acs5/profile,DP04_0086,2021,2020,Tract
"$500,000 to $999,999",DP04_0087,Home Value,American Community Survey,acs/acs5/profile,DP04_0087,2021,2020,Tract
"$1,000,000 or more",DP04_0088,Home Value,American Community Survey,acs/acs5/profile,DP04_0088,2021,2020,Tract
Median (dollars),DP04_0089,Home Value (Median),American Community Survey,acs/acs5/profile,DP04_0089,2021,2020,Tract
