Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
"Less than $10,000",H074002,Home Value,dec,dec/sf3,H074002,2000,2000,tract
"$10,000 to $14,999",H074003,Home Value,dec,dec/sf3,H074003,2000,2000,tract
"$15,000 to $19,999",H074004,Home Value,dec,dec/sf3,H074004,2000,2000,tract
"$20,000 to $24,999",H074005,Home Value,dec,dec/sf3,H074005,2000,2000,tract
"$25,000 to $29,999",H074006,Home Value,dec,dec/sf3,H074006,2000,2000,tract
"$30,000 to $34,999",H074007,Home Value,dec,dec/sf3,H074007,2000,2000,tract
"$35,000 to $39,999",H074008,Home Value,dec,dec/sf3,H074008,2000,2000,tract
"$40,000 to $49,999",H074009,Home Value,dec,dec/sf3,H074009,2000,2000,tract
"$50,000 to $59,999",H074010,Home Value,dec,dec/sf3,H074010,2000,2000,tract
"$60,000 to $69,999",H074011,Home Value,dec,dec/sf3,H074011,2000,2000,tract
"$70,000 to $79,999",H074012,Home Value,dec,dec/sf3,H074012,2000,2000,tract
"$80,000 to $89,999",H074013,Home Value,dec,dec/sf3,H074013,2000,2000,tract
"$90,000 to $99,999",H074014,Home Value,dec,dec/sf3,H074014,2000,2000,tract
"$100,000 to $124,999",H074015,Home Value,dec,dec/sf3,H074015,2000,2000,tract
"$125,000 to $149,999",H074016,Home Value,dec,dec/sf3,H074016,2000,2000,tract
"$150,000 to $174,999",H074017,Home Value,dec,dec/sf3,H074017,2000,2000,tract
"$175,000 to $199,999",H074018,Home Value,dec,dec/sf3,H074018,2000,2000,tract
"$200,000 to $249,999",H074019,Home Value,dec,dec/sf3,H074019,2000,2000,tract
"$250,000 to $299,999",H074020,Home Value,dec,dec/sf3,H074020,2000,2000,tract
"$300,000 to $399,999",H074021,Home Value,dec,dec/sf3,H074021,2000,2000,tract
"$400,000 to $499,999",H074022,Home Value,dec,dec/sf3,H074022,2000,2000,tract
"$500,000 to $749,999",H074023,Home Value,dec,dec/sf3,H074023,2000,2000,tract
"$750,000 to $999,999",H074024,Home Value,dec,dec/sf3,H074024,2000,2000,tract
"$1,000,000 or more",H074025,Home Value,dec,dec/sf3,H074025,2000,2000,tract
Total Housing Units,H003001,Housing,dec,dec/sf1,H003001,2000,2000,tract
Total: Occupied,H003002,Housing,dec,dec/sf1,H003002,2000,2000,tract
