Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Total,B19052_001,Employment,American Community Survey,acs/acs5,B19052_001,2020,2020,tract
With wage or salary income,B19052_002,Employment,American Community Survey,acs/acs5,B19052_002,2020,2020,tract
No wage or salary income,B19052_003,Employment,American Community Survey,acs/acs5,B19052_003,2020,2020,tract
"$10,000 to $14,999",B19001_003,Household Income,American Community Survey,acs/acs5,B19001_003,2020,2020,tract
"$15,000 to $19,999",B19001_004,Household Income,American Community Survey,acs/acs5,B19001_004,2020,2020,tract
"$20,000 to $24,999",B19001_005,Household Income,American Community Survey,acs/acs5,B19001_005,2020,2020,tract
"$25,000 to $29,999",B19001_006,Household Income,American Community Survey,acs/acs5,B19001_006,2020,2020,tract
"$30,000 to $34,999",B19001_007,Household Income,American Community Survey,acs/acs5,B19001_007,2020,2020,tract
"$35,000 to $39,999",B19001_008,Household Income,American Community Survey,acs/acs5,B19001_008,2020,2020,tract
"$40,000 to $44,999",B19001_009,Household Income,American Community Survey,acs/acs5,B19001_009,2020,2020,tract
"$45,000 to $49,999",B19001_010,Household Income,American Community Survey,acs/acs5,B19001_010,2020,2020,tract
"$50,000 to $59,999",B19001_011,Household Income,American Community Survey,acs/acs5,B19001_011,2020,2020,tract
"$60,000 to $74,999",B19001_012,Household Income,American Community Survey,acs/acs5,B19001_012,2020,2020,tract
"$75,000 to $99,999",B19001_013,Household Income,American Community Survey,acs/acs5,B19001_013,2020,2020,tract
"$100,000 to $124,999",B19001_014,Household Income,American Community Survey,acs/acs5,B19001_014,2020,2020,tract
"$125,000 to $149,999",B19001_015,Household Income,American Community Survey,acs/acs5,B19001_015,2020,2020,tract
"$150,000 to $199,999",B19001_016,Household Income,American Community Survey,acs/acs5,B19001_016,2020,2020,tract
"$200,000 or more",B19001_017,Household Income,American Community Survey,acs/acs5,B19001_017,2020,2020,tract
"Less than $10,000",B19001_002,Household Income,American Community Survey,acs/acs5,B19001_002,2020,2020,tract
Median Household Income,B06011_001,Income (Median),American Community Survey,acs/acs5,B06011_001,2020,2020,tract
Total Household Income,B19001_001,Income (Median),American Community Survey,acs/acs5,B19001_001,2020,2020,tract
Median home value,B25075_001,Home Value (Median),American Community Survey,acs/acs5,B25075_001,2020,2020,tract
