Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Total Heating Methods,B25040_001,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_001,2021,2020,tract
Utility gas,B25040_002,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_002,2021,2020,tract
"Bottled, tank, or LP gas",B25040_003,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_003,2021,2020,tract
Electricity,B25040_004,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_004,2021,2020,tract
"Fuel oil, kerosene, etc.",B25040_005,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_005,2021,2020,tract
Coal or coke,B25040_006,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_006,2021,2020,tract
Wood,B25040_007,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_007,2021,2020,tract
Solar energy,B25040_008,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_008,2021,2020,tract
Other fuel,B25040_009,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_009,2021,2020,tract
No fuel used,B25040_010,HOUSE HEATING FUEL,American Community Survey,acs/acs5,B25040_010,2021,2020,tract
