Variable,Code,Category,Datasource,Datasource Name,CodeNumber,Year,census_geom_year,GeometryLevel
Total: Asian Alone Householder,B25003D_001,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003D_001,2021,2020,tract
Owner Occupied: Asian Alone Householder,B25003D_002,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003D_002,2021,2020,tract
Renter Occupied: Asian Alone Householder,B25003D_003,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003D_003,2021,2020,tract
Total: Native Hawaiian And Other Pacific Islander Alone Householder,B25003E_001,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003E_001,2021,2020,tract
Owner Occupied: Native Hawaiian And Other Pacific Islander Alone Householder,B25003E_002,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003E_002,2021,2020,tract
Renter Occupied: Native Hawaiian And Other Pacific Islander Alone Householder,B25003E_003,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003E_003,2021,2020,tract
Total: Some Other Race Alone Householder,B25003F_001,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003F_001,2021,2020,tract
Owner Occupied: Some Other Race Alone Householder,B25003F_002,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003F_002,2021,2020,tract
Renter Occupied: Some Other Race Alone Householder,B25003F_003,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003F_003,2021,2020,tract
Total: Two Or More Races Householder,B25003G_001,Tenure By Race Of Householder,American Community Survey,acs/acs5,B25003G_001,2021,2020,tract
